title,company,location,salary,experience,education,keyword,date,url
軟體測試工程師,精品科技股份有限公司,新竹市,面議,,,軟體測試,20260902,https://www.104.com.tw/job/37j6s
竹北二廠-EXA Scale設備工程師,南茂科技股份有限公司,新竹縣竹北市,面議,,,自動化測試工程師,20260902,https://www.104.com.tw/job/94ily
軟體工程師,智逐科技股份有限公司,台北市南港區,面議,,,品檢軟體工程師,20260902,https://www.104.com.tw/job/8e9p6
Java軟體開發工程師-台北(HGT),凌網科技股份有限公司,台北市中正區,面議,,,品檢軟體工程師,20260902,https://www.104.com.tw/job/8uzdq
[X01] Python 自動化測試工程師 | 穿戴式 XR 裝置 | 工作地點：新北市,Tezerakt_美商立方體有限公司台灣分公司,新北市新店區,面議,,,自動化測試工程師,20260902,https://www.104.com.tw/job/8z4i3
