title,company,location,salary,experience,education,keyword,date,url
測試職務_請勿應徵_web_qa_e2e_newweb_自動化測試申請新職缺,104測試_招募公司(請勿應徵),台北市中正區,面議,,,自動化測試,20260624,https://www.104.com.tw/job/92znw
[X01] Python 自動化測試工程師 | 穿戴式 XR 裝置 | 工作地點：新北市,Tezerakt_美商立方體有限公司台灣分公司,新北市板橋區,面議,,,自動化測試,20260624,https://www.104.com.tw/job/8z4i3
自動化測試軟體工程師/Python | 產品: Chipset | 工作地點: 新北市,Tezerakt_美商立方體有限公司台灣分公司,新北市板橋區,面議,,,自動化測試,20260624,https://www.104.com.tw/job/8lywq
自動化測試/ Hardware Validation Test Engineer(軟體)  | 智慧家庭產品 | 工作地點: 新北市,Tezerakt_美商立方體有限公司台灣分公司,新北市板橋區,面議,,,自動化測試,20260624,https://www.104.com.tw/job/8zild
