title,company,location,salary,experience,education,keyword,date,url
測試工程師,福珞爾台灣股份有限公司,新竹縣湖口鄉,面議,,,測試工程師,20260511,https://www.104.com.tw/job/8w4s2
T－測試工程師 QA （新竹）,緯創軟體股份有限公司,新竹縣寶山鄉,面議,,,軟體品質保證,20260511,https://www.104.com.tw/job/8oymy
T－（行動服務）測試工程師 QA （新竹）,緯創軟體股份有限公司,新竹縣寶山鄉,面議,,,軟體品質保證,20260511,https://www.104.com.tw/job/8oyms
T－（AI）全端工程師 （新竹）,緯創軟體股份有限公司,新竹縣寶山鄉,面議,,,軟體品質保證,20260511,https://www.104.com.tw/job/8oyoi
[台北總公司] 品質保證專員 - QA Specialist,藥華醫藥股份有限公司,台北市南港區,面議,,,QA,20260511,https://www.104.com.tw/job/8mrz6
軟體測試工程師(QA001),祐安資訊有限公司,台北市松山區,面議,,,軟體測試工程師,20260511,https://www.104.com.tw/job/6709o
QA 軟體測試工程師,欣創科技有限公司,台北市松山區,面議,,,軟體測試工程師,20260511,https://www.104.com.tw/job/6kgje
測試職務_請勿應徵_web_qa_e2e_newweb_自動化測試申請新職缺,104測試_招募公司(請勿應徵),台北市中正區,面議,,,自動化測試,20260511,https://www.104.com.tw/job/91e6b
測試職務_請勿應徵_web_qa_e2e_newweb_自動化測試關閉職缺,104測試_招募公司(請勿應徵),台北市中正區,面議,,,自動化測試,20260511,https://www.104.com.tw/job/7cjwx
測試職務_請勿應徵_web_qa_e2e_newweb_自動化測試訂閱配對,104測試_招募公司(請勿應徵),台北市中正區,面議,,,自動化測試,20260511,https://www.104.com.tw/job/7mmlr
產品PM,台灣妙管家股份有限公司,新北市汐止區,面議,,,自動化測試,20260511,https://www.104.com.tw/job/90y2f
T－Translator & Software Localization Specialist （繁體中文－香港）（汐止總部）,緯創軟體股份有限公司,新北市汐止區,面議,,,軟體品質保證,20260511,https://www.104.com.tw/job/8scvm
T－Translator & Software Localization Specialist （Traditional Chinese – Taiwan / Hong Kong）（汐止總部）,緯創軟體股份有限公司,新北市汐止區,面議,,,軟體品質保證,20260511,https://www.104.com.tw/job/4xy0x
A－QA Engineer （汐止總部）,緯創軟體股份有限公司,新北市汐止區,面議,,,軟體品質保證,20260511,https://www.104.com.tw/job/8xo4y
品質保證資深工程師,臺灣福吉米股份有限公司,苗栗縣銅鑼鄉,面議,,,QA,20260511,https://www.104.com.tw/job/8zoby
