title,company,location,salary,experience,education,keyword,date,url
軟韌體測試工程師(RDSW_183),正文科技股份有限公司,新竹縣湖口鄉,面議,,,QA,20260623,https://www.104.com.tw/job/8vb8i
AI 流程轉型顧問 (AI Process Transformation Consultant),微達軟體有限公司,台北市內湖區,面議,,,軟體品質保證,20260623,https://www.104.com.tw/job/915un
資深Java 後端工程師【擴編】,微達軟體有限公司,台北市內湖區,面議,,,軟體品質保證,20260623,https://www.104.com.tw/job/8sndz
軟體專案助理 Software Project Coordinator,資旅軟體開發有限公司,台北市信義區,面議,,,軟體品質保證,20260623,https://www.104.com.tw/job/90uqu
董事長特助,資旅軟體開發有限公司,台北市信義區,面議,,,軟體品質保證,20260623,https://www.104.com.tw/job/8hnse
QA Lead (Manual Testing),時刻科技股份有限公司,台中市西區,面議,,,QA,20260623,https://www.104.com.tw/job/90in6
