title,company,location,salary,experience,education,keyword,date,url
系統軟體測試工程師 RFDS,思達科技股份有限公司,新竹市,面議,,,軟體測試,20260427,https://www.104.com.tw/job/7p2tz
測試工程師,智通聯網科技股份有限公司,新竹市,面議,,,測試工程師,20260427,https://www.104.com.tw/job/8zy2r
測試工程師,智通聯網科技股份有限公司,新竹市,面議,,,測試工程師,20260427,https://www.104.com.tw/job/3lu5n
自動化測試工程師(工作地點：新竹),星通資訊股份有限公司,新竹市,面議,,,自動化測試,20260427,https://www.104.com.tw/job/4ezjt
產品自動化測試工程師,星通資訊股份有限公司,新竹市,面議,,,自動化測試,20260427,https://www.104.com.tw/job/2rokj
S - Embedded Software Engineer(Hsinchu),緯創軟體股份有限公司,新竹市,面議,,,軟體品質保證,20260427,https://www.104.com.tw/job/8rdpe
車用品保部-資深QA工程師,矽格股份有限公司,新竹縣湖口鄉,面議,,,QA,20260427,https://www.104.com.tw/job/8wlhs
測試工程師,福珞爾台灣股份有限公司,新竹縣湖口鄉,面議,,,測試工程師,20260427,https://www.104.com.tw/job/8w4s2
測試工程師,安格科技股份有限公司,新竹縣竹北市,面議,,,測試工程師,20260427,https://www.104.com.tw/job/8ymrl
光模塊測試工程師-實習生 (L4000S),智邦科技股份有限公司,新竹縣竹北市,面議,,,測試工程師,20260427,https://www.104.com.tw/job/90off
FAE測試工程師,翌勤通訊股份有限公司,新竹縣寶山鄉,面議,,,測試工程師,20260427,https://www.104.com.tw/job/8smwp
Testing Engineer/ 產品測試工程師,福珞爾台灣股份有限公司,新竹縣湖口鄉,面議,,,測試工程師,20260427,https://www.104.com.tw/job/8vf7e
T－測試工程師 QA （新竹）,緯創軟體股份有限公司,新竹縣寶山鄉,面議,,,軟體品質保證,20260427,https://www.104.com.tw/job/8oymy
T－（行動服務）測試工程師 QA （新竹）,緯創軟體股份有限公司,新竹縣寶山鄉,面議,,,軟體品質保證,20260427,https://www.104.com.tw/job/8oyms
"外商電腦 - SDET, Automation QA Engineer",TechTalent_天合科技顧問有限公司,台北市南港區,面議,,,SDET,20260427,https://www.104.com.tw/job/8yxdt
軟體測試開發工程師｜SDET,街口電子支付股份有限公司,台北市松山區,面議,,,SDET,20260427,https://www.104.com.tw/job/86sbz
資深軟體測試開發工程師｜Senior SDET,街口電子支付股份有限公司,台北市松山區,面議,,,SDET,20260427,https://www.104.com.tw/job/5wif2
QA 自動化測試工程師,干城數碼有限公司,台北市中山區,面議,,,QA,20260427,https://www.104.com.tw/job/8iaa3
軟體測試QA工程師,云智資訊股份有限公司,台北市松山區,面議,,,軟體測試,20260427,https://www.104.com.tw/job/650oy
QA 軟體測試工程師,機童科技有限公司,台北市中山區,面議,,,軟體測試,20260427,https://www.104.com.tw/job/90x5o
Senior QA Engineer 軟體測試工程師,摩速科技有限公司,台北市大安區,面議,,,軟體測試,20260427,https://www.104.com.tw/job/60o8k
JAVA後端組長 / Backend Team Lead (Java),糖蛙線上娛樂股份有限公司,台北市南港區,面議,,,軟體測試,20260427,https://www.104.com.tw/job/903ec
軟體測試工程師 QA,準進科技有限公司,台北市內湖區,面議,,,軟體測試,20260427,https://www.104.com.tw/job/8vzjb
Test Automation Developer 自動化測試開發工程師,威睿科技股份有限公司,台北市內湖區,面議,,,自動化測試,20260427,https://www.104.com.tw/job/6h93l
自動化測試工程師-可全遠端,谷戈耳科技有限公司,台北市中正區,面議,,,自動化測試,20260427,https://www.104.com.tw/job/8sw7u
知名IT服務外商【PC 測試工程師】G85,精英人力資源股份有限公司,台北市南港區,面議,,,自動化測試工程師,20260427,https://www.104.com.tw/job/90nso
Front end Developer 前端工程師,新加坡商威兆科技有限公司台灣分公司,台北市內湖區,面議,,,軟體品質保證,20260427,https://www.104.com.tw/job/7yfcx
AI 產品策略師 AI Product Strategist,宇泰華科技股份有限公司,台北市南港區,面議,,,軟體品質保證,20260427,https://www.104.com.tw/job/9030o
軟體開發工程師 Junior Software Engineer - .NET,宏碁資訊服務股份有限公司,台北市南港區,面議,,,品檢軟體工程師,20260427,https://www.104.com.tw/job/8y1y5
資深軟體開發工程師 Senior .NET Software Engineer,宏碁資訊服務股份有限公司,台北市南港區,面議,,,品檢軟體工程師,20260427,https://www.104.com.tw/job/8y1vy
Software Automation Test Engineer (軟體自動化測試QA/SDET工程師),邁智微電子股份有限公司,新北市新店區,面議,,,SDET,20260427,https://www.104.com.tw/job/8p2lr
Senior QA/SDET 資深軟體測試工程師(自動化測試)-N040,裕隆集團移動服務事業_格上汽車租賃股份有限公司,新北市新店區,面議,,,SDET,20260427,https://www.104.com.tw/job/7x8dj
品保_QA品質保證部級主管(土城廠),大瓏企業股份有限公司,新北市土城區,面議,,,QA,20260427,https://www.104.com.tw/job/7ygoa
QA Engineer,美商宇心生醫股份有限公司台灣分公司,新北市中和區,面議,,,QA,20260427,https://www.104.com.tw/job/90f4y
路易莎集團-行銷企劃主管(課長、副理、經理) 薪資5~7萬,路易莎職人咖啡股份有限公司,新北市新莊區,面議,,,QA,20260427,https://www.104.com.tw/job/8undc
成衣品管幹部(QA),儒鴻企業股份有限公司,新北市新莊區,面議,,,QA,20260427,https://www.104.com.tw/job/668dh
軟體測試人員,碩網資訊股份有限公司,新北市新店區,面議,,,軟體測試,20260427,https://www.104.com.tw/job/8wuka
模具製作工程師,端揆機械事業有限公司,新北市新莊區,面議,,,測試工程師,20260427,https://www.104.com.tw/job/8r9al
T－Translator & Software Localization Specialist （Traditional Chinese – Taiwan / Hong Kong）（汐止總部）,緯創軟體股份有限公司,新北市汐止區,面議,,,軟體品質保證,20260427,https://www.104.com.tw/job/4xy0x
T－Translator & Software Localization Specialist （繁體中文－香港）（汐止總部）,緯創軟體股份有限公司,新北市汐止區,面議,,,軟體品質保證,20260427,https://www.104.com.tw/job/8scvm
Senior Frontend Software Engineer,美商太陽鳥軟體股份有限公司台灣分公司,新北市新店區,面議,,,軟體品質保證,20260427,https://www.104.com.tw/job/7vxj6
Associate Frontend Software Engineer (研發替代役亦可),美商太陽鳥軟體股份有限公司台灣分公司,新北市新店區,面議,,,軟體品質保證,20260427,https://www.104.com.tw/job/7vwt0
A－QA Engineer （汐止總部）,緯創軟體股份有限公司,新北市汐止區,面議,,,軟體品質保證,20260427,https://www.104.com.tw/job/8xo4y
A-  DevOps Engineer (Global Project),緯創軟體股份有限公司,新北市汐止區,面議,,,軟體品質保證,20260427,https://www.104.com.tw/job/8zmzm
