title,company,location,salary,experience,education,keyword,date,url
產品研究員,日新軟體股份有限公司,台北市內湖區,面議,,,軟體品質保證,20260920,https://www.104.com.tw/job/8ez1t
【擴編】Software Engineer / Java Engineer (Full Stack) - 全端軟體工程師(Pure Java),日新軟體股份有限公司,台北市內湖區,面議,,,軟體品質保證,20260920,https://www.104.com.tw/job/4mjsx
UI網頁設計師(切版＆前端動態),日新軟體股份有限公司,台北市內湖區,面議,,,軟體品質保證,20260920,https://www.104.com.tw/job/8j27x
UI網頁設計師(視覺&動態設計),日新軟體股份有限公司,台北市內湖區,面議,,,軟體品質保證,20260920,https://www.104.com.tw/job/8j293
UX Researcher,日新軟體股份有限公司,台北市內湖區,面議,,,軟體品質保證,20260920,https://www.104.com.tw/job/7rwe5
人資專員 HR Specialist ( 招募任用/員工關懷 ),日新軟體股份有限公司,台北市內湖區,面議,,,軟體品質保證,20260920,https://www.104.com.tw/job/8r2gf
美編設計,CW手機配件_丞威資訊科技有限公司,台中市西區,面議,,,軟體品質保證,20260920,https://www.104.com.tw/job/88m11
