title,company,location,salary,experience,education,keyword,date,url
"Quality Assurance, QA 品管顧問",安大華有限公司,台北市中山區,面議,,,QA,20260429,https://www.104.com.tw/job/8va60
軟體工程師 Software Engineer,香港商佛萊信電腦軟體有限公司台灣分公司,台北市松山區,面議,,,品檢軟體工程師,20260429,https://www.104.com.tw/job/2lsl4
Golang 後端工程師,澳碼科技有限公司,新北市中和區,面議,,,軟體品質保證,20260429,https://www.104.com.tw/job/8ojwt
Quality Assurance and Compliance Manager,瑟菲克斯科技股份有限公司,台中市南屯區,面議,,,QA,20260429,https://www.104.com.tw/job/8wejr
LabVIEW 軟體工程師,瑟菲克斯科技股份有限公司,台中市南屯區,面議,,,軟體測試工程師,20260429,https://www.104.com.tw/job/8yalc
