title,company,location,salary,experience,education,keyword,date,url
SQA 軟韌體測試工程師(應屆畢業可),同亨科技股份有限公司,新竹市,面議,,,QA,20260901,https://www.104.com.tw/job/7rng0
Wi-Fi軟韌體測試工程師,智易科技股份有限公司,新竹市,面議,,,QA,20260901,https://www.104.com.tw/job/jviy
測試工程師,英柏得科技股份有限公司,新竹市,面議,,,測試工程師,20260901,https://www.104.com.tw/job/8b9it
前端網頁工程師(台北/新竹),全景軟體股份有限公司,新竹市,面議,,,軟體品質保證,20260901,https://www.104.com.tw/job/2om8y
Java軟體工程師(新竹),全景軟體股份有限公司,新竹市,面議,,,軟體品質保證,20260901,https://www.104.com.tw/job/746zu
軟體工程師,九暘電子股份有限公司,新竹市,面議,,,品檢軟體工程師,20260901,https://www.104.com.tw/job/8e7ct
[起薪4萬以上] 營運專員 | 行政/ 行銷 / 活動企劃  | 來跟草泥馬、水豚當同事！,綠世界生態農場_亞馬遜育樂股份有限公司,新竹縣北埔鄉,面議,,,軟體品質保證,20260901,https://www.104.com.tw/job/8z2s8
資深品質保證工程師,速碼波科技股份有限公司,新竹縣竹北市,面議,,,軟體品質保證工程師,20260901,https://www.104.com.tw/job/90v23
AI 協作全端軟體工程師（AI-Native Software Engineer）,荷蘭商索信科技有限公司,新竹縣竹北市,面議,,,品檢軟體工程師,20260901,https://www.104.com.tw/job/95fbm
系統軟體開發工程師,易捷系統股份有限公司,新竹縣竹北市,面議,,,品檢軟體工程師,20260901,https://www.104.com.tw/job/68i5l
Software Development Engineer in Test(SDET),東擎科技股份有限公司,台北市北投區,面議,,,SDET,20260901,https://www.104.com.tw/job/8jm2q
測試工程師/資深測試工程師 Software Development Engineer in Test(SDET),TVBS_聯利媒體股份有限公司,台北市內湖區,面議,,,SDET,20260901,https://www.104.com.tw/job/6ttpk
Product Engineer (AI未來科技部),TVBS_聯利媒體股份有限公司,台北市內湖區,面議,,,SDET,20260901,https://www.104.com.tw/job/93h6q
Software Development Engineer in Test (Backend),Gogolook_走著瞧股份有限公司,台北市大安區,面議,,,SDET,20260901,https://www.104.com.tw/job/94odw
軟體測試工程師,諾思資訊股份有限公司,台北市內湖區,面議,,,軟體測試,20260901,https://www.104.com.tw/job/8ah6z
【台北】軟體測試工程師,宏益科技服務股份有限公司,台北市內湖區,面議,,,軟體測試,20260901,https://www.104.com.tw/job/8vr45
【FTS】軟體測試工程師（QA）,台灣富士通股份有限公司,台北市中正區,面議,,,軟體測試,20260901,https://www.104.com.tw/job/3r93l
【外商】Sr. Quality Assurance Engineer - Payment (軟體測試工程師 - *支付) [BIT/Global Payment 全球支付],海科科技有限公司,台北市中山區,面議,,,軟體測試,20260901,https://www.104.com.tw/job/8lf2b
軟體測試工程師,鑑微科技股份有限公司,台北市內湖區,面議,,,軟體測試工程師,20260901,https://www.104.com.tw/job/8n3e8
軟體測試工程師 QA,關楗股份有限公司,台北市士林區,面議,,,軟體測試工程師,20260901,https://www.104.com.tw/job/7cwl5
軟體測試工程師（Software QA Engineer）,皓展資訊股份有限公司,台北市松山區,面議,,,軟體測試工程師,20260901,https://www.104.com.tw/job/92mio
IoT軟體工程師(台北),全景軟體股份有限公司,台北市中正區,面議,,,軟體品質保證,20260901,https://www.104.com.tw/job/47bi4
Senior React Native Engineer — Cross-Platform Architecture,POSITIVE GRID_佳格數位科技有限公司,台北市中山區,面議,,,軟體品質保證,20260901,https://www.104.com.tw/job/95f6o
招募專員/Recruiter,鈦創軟體資訊有限公司,台北市大安區,面議,,,軟體品質保證,20260901,https://www.104.com.tw/job/8yidg
2. Java軟體工程師 (銀行專案),易勝資訊股份有限公司,台北市中正區,面議,,,軟體品質保證,20260901,https://www.104.com.tw/job/8tv8f
116年研發替代役/預聘-專案工程師(台北/新竹),全景軟體股份有限公司,台北市中正區,面議,,,軟體品質保證,20260901,https://www.104.com.tw/job/6e4f3
資安專案經理(台北),全景軟體股份有限公司,台北市中正區,面議,,,軟體品質保證,20260901,https://www.104.com.tw/job/333bp
116年研發替代役/預聘-資安/網安軟體工程師(台北/新竹),全景軟體股份有限公司,台北市中正區,面議,,,軟體品質保證,20260901,https://www.104.com.tw/job/3ayuo
軟體測試工程師,鴻海精密工業股份有限公司,新北市土城區,面議,,,軟體測試,20260901,https://www.104.com.tw/job/9579i
【S】車用軟體測試工程師,富智康國際股份有限公司,新北市土城區,面議,,,軟體測試,20260901,https://www.104.com.tw/job/7w6g8
系統開發部-軟體測試工程師,兆銀資訊系統股份有限公司,新北市中和區,面議,,,軟體測試,20260901,https://www.104.com.tw/job/4gpkm
電動車軟體測試工程師(手動測試)-F21,鴻華先進科技股份有限公司,新北市新店區,面議,,,軟體測試工程師,20260901,https://www.104.com.tw/job/7tmox
軟體工程師（含自動化測試任務）,新人類資訊科技股份有限公司,新北市新店區,面議,,,自動化測試,20260901,https://www.104.com.tw/job/7x13g
系統整合工程師【新北-生物科技】,鈦創軟體資訊有限公司,新北市五股區,面議,,,軟體品質保證,20260901,https://www.104.com.tw/job/8vj0b
資深演算法驗證主任工程師,博晶醫電股份有限公司,新北市新店區,面議,,,軟體品質保證工程師,20260901,https://www.104.com.tw/job/94q68
機器人 日文 品質保證工程師（QA）／品質管理師,鴻海精密工業股份有限公司,新北市土城區,面議,,,軟體品質保證工程師,20260901,https://www.104.com.tw/job/8yp5k
軟體開發工程師（台北）,嘉實資訊股份有限公司,新北市新店區,面議,,,品檢軟體工程師,20260901,https://www.104.com.tw/job/3ikm2
品管/檢驗人員 QC,印比雅實業股份有限公司,台中市西屯區,面議,,,QA,20260901,https://www.104.com.tw/job/4w4t0
軟體工程師,智茂科技有限公司,台中市大里區,面議,,,品檢軟體工程師,20260901,https://www.104.com.tw/job/8ks8f
