title,company,location,salary,experience,education,keyword,date,url
"EN10143 軟體測試助理工程師(Robot,IoT)",華碩電腦股份有限公司,台北市北投區,面議,,,軟體測試,20260805,https://www.104.com.tw/job/4vwb5
EN10198 軟體測試工程師 (Robot),華碩電腦股份有限公司,台北市北投區,面議,,,軟體測試,20260805,https://www.104.com.tw/job/4vw6v
EN11494 軟體測試工程師(NB/Desktop PC/AiO PC),華碩電腦股份有限公司,台北市北投區,面議,,,軟體測試工程師,20260805,https://www.104.com.tw/job/88z11
EN10397 自動化測試程式開發工程師(伺服器),華碩電腦股份有限公司,台北市北投區,面議,,,自動化測試,20260805,https://www.104.com.tw/job/7e42i
RD22152 自動化測試研發電控工程師(電競配件),華碩電腦股份有限公司,台北市北投區,面議,,,自動化測試,20260805,https://www.104.com.tw/job/91xdi
測試職務_請勿應徵_web_qa_e2e_newweb_自動化測試申請新職缺,104測試_招募公司(請勿應徵),台北市中正區,面議,,,自動化測試,20260805,https://www.104.com.tw/job/94hmn
RD22153 自動化測試研發機構工程師(電競配件),華碩電腦股份有限公司,台北市北投區,面議,,,自動化測試,20260805,https://www.104.com.tw/job/91xf2
*CESBG AI Server HPC-自動化測試平台工程師/資深工程師 (新北土城),鴻海精密工業股份有限公司,新北市土城區,面議,,,自動化測試,20260805,https://www.104.com.tw/job/92ati
