title,company,location,salary,experience,education,keyword,date,url
SQA 軟韌體測試工程師(應屆畢業可),同亨科技股份有限公司,新竹市,面議,,,QA,20260908,https://www.104.com.tw/job/7rng0
招募專員/Recruiter,鈦創軟體資訊有限公司,台北市大安區,面議,,,軟體品質保證,20260908,https://www.104.com.tw/job/8yidg
軟體工程師,鯨揚科技股份有限公司,台北市中山區,面議,,,軟體品質保證工程師,20260908,https://www.104.com.tw/job/8msr9
【新創】軟體工程師 Software Engineer,擴核生醫科技股份有限公司,台北市南港區,面議,,,品檢軟體工程師,20260908,https://www.104.com.tw/job/95lc6
軟體工程師（含自動化測試任務）,新人類資訊科技股份有限公司,新北市新店區,面議,,,自動化測試,20260908,https://www.104.com.tw/job/7x13g
