title,company,location,salary,experience,education,keyword,date,url
系統軟體測試工程師 RFDS,思達科技股份有限公司,新竹市,面議,,,軟體測試工程師,20260921,https://www.104.com.tw/job/7p2tz
T－（AI）全端工程師 （新竹）,緯致科技股份有限公司,新竹縣寶山鄉,面議,,,軟體品質保證,20260921,https://www.104.com.tw/job/8oyoi
軟體測試工程師,諾思資訊股份有限公司,台北市內湖區,面議,,,軟體測試,20260921,https://www.104.com.tw/job/8ah6z
軟體測試工程師(QA001),祐安資訊有限公司,台北市松山區,面議,,,軟體測試工程師,20260921,https://www.104.com.tw/job/6709o
QA 軟體測試工程師,欣創科技有限公司,台北市松山區,面議,,,軟體測試工程師,20260921,https://www.104.com.tw/job/6kgje
軟體測試工程師(QA),緯德科技股份有限公司 (TechLink Corporation),台北市松山區,面議,,,軟體測試工程師,20260921,https://www.104.com.tw/job/5e6e0
測試工程師_16192,和碩集團_和碩聯合科技股份有限公司,台北市北投區,面議,,,測試工程師,20260921,https://www.104.com.tw/job/95ex1
自動化測試軟體工程師_15859,和碩集團_和碩聯合科技股份有限公司,台北市北投區,面議,,,自動化測試,20260921,https://www.104.com.tw/job/92o57
AI 影音暨數位媒體設計專員,香港商天圓文化諮詢顧問有限公司台灣分公司,台北市中正區,面議,,,品檢軟體工程師,20260921,https://www.104.com.tw/job/957p0
新北新莊_品管人員,永信新材料有限公司,新北市新莊區,面議,,,測試工程師,20260921,https://www.104.com.tw/job/94vqn
測試職務_請勿應徵_web_qa_API_C_P0_自動化測試新增職務_C1104673,104測試_APP公司(請勿應徵),新北市新店區,面議,,,自動化測試,20260921,https://www.104.com.tw/job/96263
AI自動化測試工程師（AI SDET）,微程式資訊股份有限公司,台中市西屯區,面議,,,SDET,20260921,https://www.104.com.tw/job/955ho
測試工程師 (AI-Driven Test Engineer),微程式資訊股份有限公司,台中市西屯區,面議,,,SDET,20260921,https://www.104.com.tw/job/955o7
軟體測試工程師,博凡星國際有限公司,台中市西屯區,面議,,,軟體測試工程師,20260921,https://www.104.com.tw/job/8t1gp
