title,company,location,salary,experience,education,keyword,date,url
ICC_ EC軟體測試工程師,Zyxel Networks_兆勤科技股份有限公司(合勤集團),新竹市,面議,,,軟體測試工程師,20260428,https://www.104.com.tw/job/8y37z
421-研發測試工程師,技鼎股份有限公司,新竹市,面議,,,測試工程師,20260428,https://www.104.com.tw/job/8yete
品保專員 - 新竹 Quality Assurance Specialist,台灣豪雅光學股份有限公司台北分公司,新竹縣湖口鄉,面議,,,QA,20260428,https://www.104.com.tw/job/8odox
測試&自動化測試工程師_竹北/新竹_07423,緯創資通股份有限公司,新竹縣竹北市,面議,,,自動化測試,20260428,https://www.104.com.tw/job/8n74v
測試工程師/資深測試工程師 Software Development Engineer in Test(SDET),TVBS_聯利媒體股份有限公司,台北市內湖區,面議,,,SDET,20260428,https://www.104.com.tw/job/6ttpk
科技部＿Senior 測試開發工程師 Senior Software Development Engineer in Test (SDET),美好證券股份有限公司,台北市中山區,面議,,,SDET,20260428,https://www.104.com.tw/job/8zx2k
科技部＿Junior 測試開發工程師 Junior Software Development Engineer in Test (SDET),美好證券股份有限公司,台北市中山區,面議,,,SDET,20260428,https://www.104.com.tw/job/8zxei
[台北總公司] 品質保證專員 - QA Specialist,藥華醫藥股份有限公司,台北市南港區,面議,,,QA,20260428,https://www.104.com.tw/job/8mrz6
品質保證工程師 (QA),UniMax_宇碩電子股份有限公司_華碩集團,台北市北投區,面議,,,QA,20260428,https://www.104.com.tw/job/8yqb2
Quality Assurance Engineer,圖睿科技有限公司,台北市南港區,面議,,,QA,20260428,https://www.104.com.tw/job/776kx
產險-軟體測試工程師(內湖),富邦產物保險股份有限公司,台北市內湖區,面議,,,軟體測試工程師,20260428,https://www.104.com.tw/job/8oucr
QC 軟體測試工程師 (金融業),華威數位財金科技股份有限公司,台北市信義區,面議,,,軟體測試工程師,20260428,https://www.104.com.tw/job/8m4yx
QA軟體測試工程師,樂居科技股份有限公司,台北市中山區,面議,,,軟體測試工程師,20260428,https://www.104.com.tw/job/8hwxo
研發測試工程師,主向位科技股份有限公司,台北市內湖區,面議,,,測試工程師,20260428,https://www.104.com.tw/job/2uc3a
資深 QA／自動化測試工程師（Senior QA Engineer / Automation QA）,凌群電腦股份有限公司,台北市萬華區,面議,,,自動化測試,20260428,https://www.104.com.tw/job/90q44
資深自動化測試工程師,LINE GO_新創鑫移動科技股份有限公司,台北市松山區,面議,,,自動化測試,20260428,https://www.104.com.tw/job/8v55c
TQA 軟體自動化測試工程師,明瑞資通科技股份有限公司,台北市中山區,面議,,,自動化測試,20260428,https://www.104.com.tw/job/7csq8
【新鮮人專區】2026校園徵才-自動化測試開發工程師,和碩集團_和碩聯合科技股份有限公司,台北市北投區,面議,,,自動化測試,20260428,https://www.104.com.tw/job/8mvwt
自動化測試軟體工程師_15329,和碩集團_和碩聯合科技股份有限公司,台北市北投區,面議,,,自動化測試,20260428,https://www.104.com.tw/job/8zftp
軟韌體自動化測試開發工程師_15395,和碩集團_和碩聯合科技股份有限公司,台北市北投區,面議,,,自動化測試,20260428,https://www.104.com.tw/job/8zs9g
視覺事業處_自動化測試工程師,所羅門股份有限公司,台北市內湖區,面議,,,自動化測試工程師,20260428,https://www.104.com.tw/job/8sdzc
科技部_軟體工程師 Software Engineer (金融科技產品開發),美好證券股份有限公司,台北市中山區,面議,,,軟體品質保證工程師,20260428,https://www.104.com.tw/job/8pio0
軟體工程師實習生 Software Engineer Intern (AI/LLM),行動貝果有限公司,台北市信義區,面議,,,品檢軟體工程師,20260428,https://www.104.com.tw/job/90yu3
QA_品保主管(QE),宜鼎國際股份有限公司,新北市汐止區,面議,,,QA,20260428,https://www.104.com.tw/job/8x1mm
品保/品管人員,王德傳茶莊_王德興茶業股份有限公司,新北市中和區,面議,,,QA,20260428,https://www.104.com.tw/job/8z1jy
生醫事業    品保專員(QA),英濟股份有限公司,新北市土城區,面議,,,QA,20260428,https://www.104.com.tw/job/8lrpl
軟體測試工程師,艾思通科技股份有限公司,新北市中和區,面議,,,軟體測試工程師,20260428,https://www.104.com.tw/job/6w9j2
軟體測試工程師-A7017,精聯電子股份有限公司,新北市新店區,面議,,,軟體測試工程師,20260428,https://www.104.com.tw/job/8xyzq
Automation Test Engineer 自動化測試工程師 (地點：板橋/新店),印度商威普羅股份有限公司台灣分公司,新北市板橋區,面議,,,自動化測試,20260428,https://www.104.com.tw/job/7ggwg
系統自動化測試專案管理工程師(車載產品)_汐止U-Town,GARMIN_台灣國際航電股份有限公司,新北市汐止區,面議,,,自動化測試,20260428,https://www.104.com.tw/job/5lmor
【全球智慧製造】軟體品質保證工程師 SQA_新店,GARMIN_台灣國際航電股份有限公司,新北市新店區,面議,,,軟體品質保證,20260428,https://www.104.com.tw/job/8n0q1
[ 軟體工程師 ],數碼動量股份有限公司,新北市板橋區,面議,,,軟體品質保證,20260428,https://www.104.com.tw/job/8z8gv
軟體開發工程師Software Engineer,聯寶電子股份有限公司,新北市新店區,面議,,,品檢軟體工程師,20260428,https://www.104.com.tw/job/8mvsa
軟體工程師／軟體開發工程師（Java / Python）,仁大資訊股份有限公司,新北市新莊區,面議,,,品檢軟體工程師,20260428,https://www.104.com.tw/job/8inyx
240904 品質保證部 副理,智勝科技股份有限公司,台中市西屯區,面議,,,QA,20260428,https://www.104.com.tw/job/8hpu7
軟體測試工程師,美加墨有限公司(籌備處),台中市西屯區,面議,,,軟體測試工程師,20260428,https://www.104.com.tw/job/900u6
資安軟體測試工程師,誠雲科技股份有限公司,台中市西屯區,面議,,,軟體測試工程師,20260428,https://www.104.com.tw/job/8ufla
QC 軟體測試工程師,宇利峯有限公司,台中市西屯區,面議,,,軟體測試工程師,20260428,https://www.104.com.tw/job/8d4db
