title,company,location,salary,experience,education,keyword,date,url
軟體測試工程師,精品科技股份有限公司,新竹市,面議,,,軟體測試,20260923,https://www.104.com.tw/job/37j6s
軟體測試工程師（Software QA Engineer）,皓展資訊股份有限公司,台北市松山區,面議,,,軟體測試,20260923,https://www.104.com.tw/job/92mio
硬體測試工程師,康泰智能科技股份有限公司,台北市中山區,面議,,,測試工程師,20260923,https://www.104.com.tw/job/8o8df
<產品開發> 自動化測試工程師,聯和科創股份有限公司,台北市中山區,面議,,,自動化測試,20260923,https://www.104.com.tw/job/8u1g7
<產品開發> 資深自動化測試工程師,聯和科創股份有限公司,台北市中山區,面議,,,自動化測試,20260923,https://www.104.com.tw/job/8u1gc
【AI Data Center】測試開發工程師-E事業群,鴻海精密工業股份有限公司,新北市土城區,面議,,,SDET,20260923,https://www.104.com.tw/job/958s2
軟韌體測試工程師,常珵科技股份有限公司,新北市樹林區,面議,,,QA,20260923,https://www.104.com.tw/job/7v4ha
軟體測試工程師,雲界數位創新股份有限公司,新北市三重區,面議,,,軟體測試工程師,20260923,https://www.104.com.tw/job/8uqf7
自動化測試設備工程師,崧貿實業股份有限公司,新北市汐止區,面議,,,自動化測試,20260923,https://www.104.com.tw/job/958c5
軟體工程師（含自動化測試任務）,新人類資訊科技股份有限公司,新北市新店區,面議,,,自動化測試,20260923,https://www.104.com.tw/job/7x13g
