title,company,location,salary,experience,education,keyword,date,url
軟體自動化測試工程師(新竹),全景軟體股份有限公司,新竹市,面議,,,自動化測試,20260713,https://www.104.com.tw/job/2ews9
測試職務_請勿應徵_web_qa_e2e_newweb_自動化測試申請新職缺,104測試_招募公司(請勿應徵),台北市中正區,面議,,,自動化測試,20260713,https://www.104.com.tw/job/93nbc
測試職務_請勿應徵_web_qa_e2e_newweb_自動化測試訂閱配對,104測試_招募公司(請勿應徵),台北市中正區,面議,,,自動化測試,20260713,https://www.104.com.tw/job/7mmlr
測試職務_請勿應徵_web_qa_e2e_newweb_自動化測試關閉職缺,104測試_招募公司(請勿應徵),台北市中正區,面議,,,自動化測試,20260713,https://www.104.com.tw/job/7cjwx
IoT軟體工程師(台北),全景軟體股份有限公司,台北市中正區,面議,,,軟體品質保證,20260713,https://www.104.com.tw/job/47bi4
系統工程師(台北),全景軟體股份有限公司,台北市中正區,面議,,,軟體品質保證,20260713,https://www.104.com.tw/job/8ak8q
資安專案經理(台北),全景軟體股份有限公司,台北市中正區,面議,,,軟體品質保證,20260713,https://www.104.com.tw/job/333bp
軟韌體測試工程師,常珵科技股份有限公司,新北市樹林區,面議,,,QA,20260713,https://www.104.com.tw/job/7v4ha
產品測試工程師,鴻海集團_英屬開曼群島商鴻騰精密科技股份有限公司台灣分公司,新北市土城區,面議,,,測試工程師,20260713,https://www.104.com.tw/job/8w5dr
軟體開發工程師,詮創科技有限公司,新北市板橋區,面議,,,品檢軟體工程師,20260713,https://www.104.com.tw/job/8ut9q
