title,company,location,salary,experience,education,keyword,date,url
自動化測試工程師(工作地點：新竹),星通資訊股份有限公司,新竹市,面議,,,自動化測試,20260907,https://www.104.com.tw/job/4ezjt
產品自動化測試工程師,星通資訊股份有限公司,新竹市,面議,,,自動化測試,20260907,https://www.104.com.tw/job/2rokj
T－（AI）全端工程師 （新竹）,緯致科技股份有限公司,新竹縣寶山鄉,面議,,,軟體品質保證,20260907,https://www.104.com.tw/job/8oyoi
T－測試工程師 QA （新竹）,緯致科技股份有限公司,新竹縣寶山鄉,面議,,,軟體品質保證,20260907,https://www.104.com.tw/job/8oymy
專案助理｜科技藝術,黑川互動媒體藝術有限公司,台北市中山區,面議,,,軟體測試,20260907,https://www.104.com.tw/job/6yq98
軟體測試工程師(專案六組),康和綜合證券股份有限公司,台北市信義區,面議,,,軟體測試,20260907,https://www.104.com.tw/job/75zmk
軟體測試工程師,諾思資訊股份有限公司,台北市內湖區,面議,,,軟體測試,20260907,https://www.104.com.tw/job/8ah6z
軟體測試工程師(QA),緯德科技股份有限公司 (TechLink Corporation),台北市松山區,面議,,,軟體測試,20260907,https://www.104.com.tw/job/5e6e0
測試工程師_16192,和碩集團_和碩聯合科技股份有限公司,台北市北投區,面議,,,測試工程師,20260907,https://www.104.com.tw/job/95ex1
自動化測試軟體工程師_15859,和碩集團_和碩聯合科技股份有限公司,台北市北投區,面議,,,自動化測試,20260907,https://www.104.com.tw/job/92o57
【AM】Account Manager / 客戶經理,瑞嘉軟體科技股份有限公司,台北市內湖區,面議,,,軟體品質保證,20260907,https://www.104.com.tw/job/6txne
【AE】Account Executive/客戶助理,瑞嘉軟體科技股份有限公司,台北市內湖區,面議,,,軟體品質保證,20260907,https://www.104.com.tw/job/7j92f
٩(๑•̀ω•́๑)۶專案經理 (Project Manager),數位無限軟體股份有限公司,台北市松山區,面議,,,軟體品質保證,20260907,https://www.104.com.tw/job/9165g
T－C/C++  Software Engineer （台北）,緯致科技股份有限公司,台北市信義區,面議,,,軟體品質保證,20260907,https://www.104.com.tw/job/90qm1
活動企劃,峰辰股份有限公司,新北市三重區,面議,,,軟體測試,20260907,https://www.104.com.tw/job/77yst
T－應用軟體測試工程師_人才招募,緯致科技股份有限公司,新北市汐止區,面議,,,軟體測試,20260907,https://www.104.com.tw/job/69zja
RF測試工程師-日/小夜/大夜班(五股)【不限科系(文理組皆可)／無經驗可／提供完整培訓】,SGS _ 台灣檢驗科技股份有限公司,新北市五股區,面議,,,自動化測試工程師,20260907,https://www.104.com.tw/job/8m58o
T－.NET SD / PG_人才招募（台中）,緯致科技股份有限公司,台中市西屯區,面議,,,軟體品質保證,20260907,https://www.104.com.tw/job/7hg7r
