title,company,location,salary,experience,education,keyword,date,url
【美商大廠】影像晶片-鏡頭 / 演算法測試工程師(41K-63K-月/保年薪14個月/歡迎新鮮人)-竹科-601Y,萬寶華企業管理顧問股份有限公司,新竹市,面議,,,軟體品質保證工程師,20260817,https://www.104.com.tw/job/8y0rk
軟體測試工程師(QA001),祐安資訊有限公司,台北市松山區,面議,,,軟體測試工程師,20260817,https://www.104.com.tw/job/6709o
國外業務專員,開創水資源科技股份有限公司,台北市內湖區,面議,,,軟體品質保證,20260817,https://www.104.com.tw/job/4egx9
系統服務 QA 工程師 (System Services QA Engineer),聯想感行銷科技股份有限公司,台北市松山區,面議,,,軟體品質保證工程師,20260817,https://www.104.com.tw/job/8vu44
Automation Test Engineer 自動化測試工程師 (地點：板橋/新店),印度商威普羅股份有限公司台灣分公司,新北市板橋區,面議,,,自動化測試工程師,20260817,https://www.104.com.tw/job/7ggwg
