title,company,location,salary,experience,education,keyword,date,url
急徵-測試工程師,昇詮科技股份有限公司,新竹市,面議,,,測試工程師,20260914,https://www.104.com.tw/job/92h9v
測試工程師,昱盛電子股份有限公司,新竹縣竹北市,面議,,,測試工程師,20260914,https://www.104.com.tw/job/77dkp
"外商電腦-SDET (Software Engineer in Test), Automation Test Engineer",TechTalent_天合科技顧問有限公司,台北市南港區,面議,,,SDET,20260914,https://www.104.com.tw/job/918fp
QA測試工程師,英屬維京群島商智車有限公司台灣分公司,台北市信義區,面議,,,QA,20260914,https://www.104.com.tw/job/8e6kz
軟體測試工程師,諾思資訊股份有限公司,台北市內湖區,面議,,,軟體測試,20260914,https://www.104.com.tw/job/8ah6z
軟體測試工程師 (QA Engineer) - Python/自動化測試/Playwright,果友科技有限公司,台北市大安區,面議,,,軟體測試,20260914,https://www.104.com.tw/job/8urkt
軟體測試工程師(QA001),祐安資訊有限公司,台北市松山區,面議,,,軟體測試,20260914,https://www.104.com.tw/job/6709o
QA 軟體測試工程師,欣創科技有限公司,台北市松山區,面議,,,軟體測試工程師,20260914,https://www.104.com.tw/job/6kgje
測試工程師_16192,和碩集團_和碩聯合科技股份有限公司,台北市北投區,面議,,,測試工程師,20260914,https://www.104.com.tw/job/95ex1
【擴編】軟體測試工程師(QA),騰雲運算股份有限公司,新北市新莊區,面議,,,軟體測試,20260914,https://www.104.com.tw/job/92398
軟體測試工程師(台中),英特崴股份有限公司,台中市南屯區,面議,,,軟體測試,20260914,https://www.104.com.tw/job/8v601
半導體設備工程師 Field Service Engineer(TC),韓國半導體設備商_比思科亞洲股份有限公司,台中市西屯區,面議,,,軟體測試,20260914,https://www.104.com.tw/job/8cz0f
軟體測試工程師(自動化),宇利峯有限公司,台中市西屯區,面議,,,軟體測試,20260914,https://www.104.com.tw/job/8d4re
